Rank,Player,Position,2010 Team,2011 Team,Reference,Year,2012 Team,Rank Change,2013 Team,2014 Team,2015 Team,2015 team,2016 team,Rank change,2017 team,Year accomplishments,2018 team,2019 team,2020 team
86,London Fletcher,Linebacker,,,86,2012.0,Washington Redskins,1,,,,,,,,,,,
87,Bernard Pollard,Safety,,,87,2012.0,Baltimore Ravens,NR,Tennessee Titans,,,,,,,,,,
88,Jacoby Jones,Wide receiver,,,88,2012.0,Baltimore Ravens,NR,,,,,,,,,,,
89,Cameron Wake,Linebacker,,,89,2012.0,Miami Dolphins,NR,,,,,,,,,,,
90,Percy Harvin,Wide receiver,,,90,2012.0,Minnesota Vikings,NR,Seattle Seahawks,,,,,,,,,,
91,Troy Polamalu,Safety,,,91,2012.0,Pittsburgh Steelers,72,,,,,,,,,,,
92,Gerald McCoy,Defensive tackle,,,92,2012.0,Tampa Bay Buccaneers,NR,,,,,,,,,,,
93,Anquan Boldin,Wide receiver,,,93,2012.0,Baltimore Ravens,NR,San Francisco 49ers,,,,,,,,,,
94,Daryl Washington,Linebacker,,,94,2012.0,Arizona Cardinals,NR,,,,,,,,,,,
95,Max Unger,Center,,,95,2012.0,Seattle Seahawks,NR,,,,,,,,,,,
96,Dashon Goldson,Safety,,,96,2012.0,San Francisco 49ers,NR,Tampa Bay Buccaneers,,,,,,,,,,
97,Heath Miller,Tight end,,,97,2012.0,Pittsburgh Steelers,NR,,,,,,,,,,,
98,Maurice Jones-Drew,Running back,,,98,2012.0,Jacksonville Jaguars,86,,,,,,,,,,,
99,Trent Williams,Offensive tackle,,,99,2012.0,Washington Redskins,NR,,,,,,,,,,,
100,Dennis Pitta,Tight end,,,100,2012.0,Baltimore Ravens,NR,,,,,,,,,,,
1,Peyton Manning,Quarterback,,,1,2013.0,,1,Denver Broncos,,,,,,,,,,
2,Calvin Johnson,Wide receiver,,,2,2013.0,,1,Detroit Lions,,,,,,,,,,
3,Tom Brady,Quarterback,,,3,2013.0,,1,New England Patriots,,,,,,,,,,
4,Adrian Peterson,Running back,,,4,2013.0,,3,Minnesota Vikings,,,,,,,,,,
5,LeSean McCoy,Running back,,,5,2013.0,,40,Philadelphia Eagles,,,,,,,,,,
6,Drew Brees,Quarterback,,,6,2013.0,,5,New Orleans Saints,,,,,,,,,,
7,Richard Sherman,Cornerback,,,7,2013.0,,43,Seattle Seahawks,,,,,,,,,,
8,Jamaal Charles,Running back,,,8,2013.0,,12,Kansas City Chiefs,,,,,,,,,,
9,A. J. Green,Wide receiver,,,9,2013.0,,7,Cincinnati Bengals,,,,,,,,,,
10,Jimmy Graham,Tight end,,,10,2013.0,,NR,New Orleans Saints,,,,,,,,,,
11,Aaron Rodgers,Quarterback,,,11,2013.0,,5,Green Bay Packers,,,,,,,,,,
12,J. J. Watt,Defensive end,,,12,2013.0,,7,Houston Texans,,,,,,,,,,
13,Robert Quinn,Defensive end,,,13,2013.0,,NR,St. Louis Rams,,,,,,,,,,
14,Marshawn Lynch,Running back,,,14,2013.0,,10,Seattle Seahawks,,,,,,,,,,
15,Luke Kuechly,Linebacker,,,15,2013.0,,64,Carolina Panthers,,,,,,,,,,
16,Josh Gordon,Wide receiver,,,16,2013.0,,NR,Cleveland Browns,,,,,,,,,,
17,Earl Thomas,Safety,,,17,2013.0,,49,Seattle Seahawks,,,,,,,,,,
18,Joe Thomas,Offensive tackle,,,18,2013.0,,10,Cleveland Browns,,,,,,,,,,
19,Robert Mathis,Linebacker,,,19,2013.0,,55,Indianapolis Colts,,,,,,,,,,
20,Russell Wilson,Quarterback,,,20,2013.0,,31,Seattle Seahawks,,,,,,,,,,
21,Andre Johnson,Wide receiver,,,21,2013.0,,7,Houston Texans,,,,,,,,,,
22,Patrick Peterson,Cornerback,,,22,2013.0,,11,Arizona Cardinals,,,,,,,,,,
23,Antonio Brown,Wide receiver,,,23,2013.0,,NR,Pittsburgh Steelers,,,,,,,,,,
24,Cam Newton,Quarterback,,,24,2013.0,,22,Carolina Panthers,,,,,,,,,,
25,Dez Bryant,Wide receiver,,,25,2013.0,,10,Dallas Cowboys,,,,,,,,,,
26,Terrell Suggs,Linebacker,,,26,2013.0,,30,Baltimore Ravens,,,,,,,,,,
27,Patrick Willis,Linebacker,,,27,2013.0,,17,San Francisco 49ers,,,,,,,,,,
28,Gerald McCoy,Defensive tackle,,,28,2013.0,,64,Tampa Bay Buccaneers,,,,,,,,,,
29,Mario Williams,Defensive end,,,29,2013.0,,43,Buffalo Bills,,,,,,,,,,
30,Andrew Luck,Quarterback,,,30,2013.0,,7,Indianapolis Colts,,,,,,,,,,
31,Ben Roethlisberger,Quarterback,,,31,2013.0,,30,Pittsburgh Steelers,,,,,,,,,,
32,Kyle Williams,Defensive tackle,,,32,2013.0,,NR,Buffalo Bills,,,,,,,,,,
33,Aldon Smith,Linebacker,,,33,2013.0,,26,San Francisco 49ers,,,,,,,,,,
34,Philip Rivers,Quarterback,,,34,2013.0,,NR,San Diego Chargers,,,,,,,,,,
35,Lavonte David,Linebacker,,,35,2013.0,,NR,Tampa Bay Buccaneers,,,,,,,,,,
36,Brandon Marshall,Wide receiver,,,36,2013.0,,9,Chicago Bears,,,,,,,,,,
37,Darrelle Revis,Cornerback,,,37,2013.0,,30,Tampa Bay Buccaneers,New England Patriots,,,,,,,,,
38,Larry Fitzgerald,Wide receiver,,,38,2013.0,,16,Arizona Cardinals,,,,,,,,,,
39,Joe Haden,Cornerback,,,39,2013.0,,NR,Cleveland Browns,,,,,,,,,,
40,Ndamukong Suh,Defensive tackle,,,40,2013.0,,0,Detroit Lions,,,,,,,,,,
41,Rob Gronkowski,Tight end,,,41,2013.0,,16,New England Patriots,,,,,,,,,,
42,Muhammad Wilkerson,Defensive end,,,42,2013.0,,NR,New York Jets,,,,,,,,,,
43,Tamba Hali,Linebacker,,,43,2013.0,,NR,Kansas City Chiefs,,,,,,,,,,
44,Vincent Jackson,Wide receiver,,,44,2013.0,,8,Tampa Bay Buccaneers,,,,,,,,,,
45,Haloti Ngata,Defensive tackle,,,45,2013.0,,3,Baltimore Ravens,,,,,,,,,,
46,Frank Gore,Running back,,,46,2013.0,,14,San Francisco 49ers,,,,,,,,,,
47,NaVorro Bowman,Linebacker,,,47,2013.0,,10,San Francisco 49ers,,,,,,,,,,
48,Geno Atkins,Defensive tackle,,,48,2013.0,,12,Cincinnati Bengals,,,,,,,,,,
49,Demaryius Thomas,Wide receiver,,,49,2013.0,,19,Denver Broncos,,,,,,,,,,
50,Eric Berry,Safety,,,50,2013.0,,NR,Kansas City Chiefs,,,,,,,,,,
51,Vernon Davis,Tight end,,,51,2013.0,,13,San Francisco 49ers,,,,,,,,,,
52,Vontaze Burfict,Linebacker,,,52,2013.0,,NR,Cincinnati Bengals,,,,,,,,,,
53,Greg Hardy,Defensive end,,,53,2013.0,,NR,Carolina Panthers,,,,,,,,,,
54,Alshon Jeffery,Wide receiver,,,54,2013.0,,NR,Chicago Bears,,,,,,,,,,
55,Marshal Yanda,Guard,,,55,2013.0,,NR,Baltimore Ravens,,,,,,,,,,
56,DeMarcus Ware,Linebacker,,,56,2013.0,,44,Dallas Cowboys,Denver Broncos,,,,,,,,,
57,Justin Houston,Linebacker,,,57,2013.0,,8,Kansas City Chiefs,,,,,,,,,,
58,Joe Flacco,Quarterback,,,58,2013.0,,39,Baltimore Ravens,,,,,,,,,,
59,DeAndre Levy,Linebacker,,,59,2013.0,,NR,Detroit Lions,,,,,,,,,,
60,Trent Williams,Offensive tackle,,,60,2013.0,,39,Washington Redskins,,,,,,,,,,
61,Troy Polamalu,Safety,,,61,2013.0,,30,Pittsburgh Steelers,,,,,,,,,,
62,Marcell Dareus,Defensive tackle,,,62,2013.0,,NR,Buffalo Bills,,,,,,,,,,
63,DeSean Jackson,Wide receiver,,,63,2013.0,,NR,Philadelphia Eagles,Washington Redskins,,,,,,,,,
64,Derrick Johnson,Linebacker,,,64,2013.0,,5,Kansas City Chiefs,,,,,,,,,,
65,Kam Chancellor,Safety,,,65,2013.0,,NR,Seattle Seahawks,,,,,,,,,,
66,Cameron Wake,Defensive end,,,66,2013.0,,23,Miami Dolphins,,,,,,,,,,
67,Jason Peters,Offensive tackle,,,67,2013.0,,NR,Philadelphia Eagles,,,,,,,,,,
68,Jared Allen,Defensive end,,,68,2013.0,,8,Minnesota Vikings,Chicago Bears,,,,,,,,,
69,Justin Smith,Defensive end,,,69,2013.0,,40,San Francisco 49ers,,,,,,,,,,
70,Nick Foles,Quarterback,,,70,2013.0,,NR,Philadelphia Eagles,,,,,,,,,,
71,Tony Romo,Quarterback,,,71,2013.0,,NR,Dallas Cowboys,,,,,,,,,,
72,Antrel Rolle,Safety,,,72,2013.0,,NR,New York Giants,,,,,,,,,,
73,Wes Welker,Wide receiver,,,73,2013.0,,29,Denver Broncos,,,,,,,,,,
74,Tim Jennings,Cornerback,,,74,2013.0,,5,Chicago Bears,,,,,,,,,,
75,Joe Staley,Offensive tackle,,,75,2013.0,,3,San Francisco 49ers,,,,,,,,,,
76,Von Miller,Linebacker,,,76,2013.0,,67,Denver Broncos,,,,,,,,,,
77,Clay Matthews,Linebacker,,,77,2013.0,,46,Green Bay Packers,,,,,,,,,,
78,Tyron Smith,Offensive tackle,,,78,2013.0,,NR,Dallas Cowboys,,,,,,,,,,
79,Aqib Talib,Cornerback,,,79,2013.0,,NR,New England Patriots,Denver Broncos,,,,,,,,,
80,Pierre Garçon,Wide receiver,,,80,2013.0,,NR,Washington Redskins,,,,,,,,,,
81,Colin Kaepernick,Quarterback,,,81,2013.0,,0,San Francisco 49ers,,,,,,,,,,
82,T. J. Ward,Safety,,,82,2013.0,,NR,Cleveland Browns,Denver Broncos,,,,,,,,,
83,Jordy Nelson,Wide receiver,,,83,2013.0,,NR,Green Bay Packers,,,,,,,,,,
84,Kiko Alonso,Linebacker,,,84,2013.0,,NR,Buffalo Bills,,,,,,,,,,
85,Reggie Bush,Running back,,,85,2013.0,,NR,Detroit Lions,,,,,,,,,,
86,Duane Brown,Offensive tackle,,,86,2013.0,,38,Houston Texans,,,,,,,,,,
87,DeMarco Murray,Running back,,,87,2013.0,,NR,Dallas Cowboys,,,,,,,,,,
88,Evan Mathis,Guard,,,88,2013.0,,NR,Philadelphia Eagles,,,,,,,,,,
89,Charles Clay,Tight end,,,89,2013.0,,NR,Miami Dolphins,,,,,,,,,,
90,Eddie Lacy,Running back,,,90,2013.0,,NR,Green Bay Packers,,,,,,,,,,
91,Matt Forte,Running back,,,91,2013.0,,NR,Chicago Bears,,,,,,,,,,
92,Eric Weddle,Safety,,,92,2013.0,,NR,San Diego Chargers,,,,,,,,,,
93,Ryan Kalil,Center,,,93,2013.0,,NR,Carolina Panthers,,,,,,,,,,
94,Sheldon Richardson,Defensive tackle,,,94,2013.0,,NR,New York Jets,,,,,,,,,,
95,Brent Grimes,Cornerback,,,95,2013.0,,NR,Miami Dolphins,,,,,,,,,,
96,Daryl Washington,Linebacker,,,96,2013.0,,2,Arizona Cardinals,,,,,,,,,,
97,Louis Vasquez,Guard,,,97,2013.0,,NR,Denver Broncos,,,,,,,,,,
98,Jason Witten,Tight end,,,98,2013.0,,57,Dallas Cowboys,,,,,,,,,,
99,Cameron Jordan,Defensive end,,,99,2013.0,,NR,New Orleans Saints,,,,,,,,,,
100,Matthew Stafford,Quarterback,,,100,2013.0,,24,Detroit Lions,,,,,,,,,,
1,J.J. Watt,Defensive end,,,1,2014.0,,11,,Houston Texans,,,,,,,,,
2,Aaron Rodgers,Quarterback,,,2,2014.0,,9,,Green Bay Packers,,,,,,,,,
3,Tom Brady,Quarterback,,,3,2014.0,,0,,New England Patriots,,,,,,,,,
4,DeMarco Murray,Running back,,,4,2014.0,,83,,Dallas Cowboys,Philadelphia Eagles,,,,,,,,
5,Peyton Manning,Quarterback,,,5,2014.0,,4,,Denver Broncos,,,,,,,,,
6,Calvin Johnson,Wide receiver,,,6,2014.0,,4,,Detroit Lions,,,,,,,,,
7,Andrew Luck,Quarterback,,,7,2014.0,,23,,Indianapolis Colts,,,,,,,,,
8,Antonio Brown,Wide receiver,,,8,2014.0,,15,,Pittsburgh Steelers,,,,,,,,,
9,Marshawn Lynch,Running back,,,9,2014.0,,5,,Seattle Seahawks,,,,,,,,,
10,Rob Gronkowski,Tight end,,,10,2014.0,,31,,New England Patriots,,,,,,,,,
11,Richard Sherman,Cornerback,,,11,2014.0,,4,,Seattle Seahawks,,,,,,,,,
12,Jamaal Charles,Running back,,,12,2014.0,,4,,Kansas City Chiefs,,,,,,,,,
13,Julio Jones,Wide receiver,,,13,2014.0,,NR,,Atlanta Falcons,,,,,,,,,
14,Luke Kuechly,Linebacker,,,14,2014.0,,1,,Carolina Panthers,,,,,,,,,
15,Dez Bryant,Wide receiver,,,15,2014.0,,10,,Dallas Cowboys,,,,,,,,,
16,Le'Veon Bell,Running back,,,16,2014.0,,NR,,Pittsburgh Steelers,,,,,,,,,
17,Darrelle Revis,Cornerback,,,17,2014.0,,20,,New England Patriots,New York Jets,,,,,,,,
18,Jordy Nelson,Wide receiver,,,18,2014.0,,65,,Green Bay Packers,,,,,,,,,
19,Patrick Peterson,Cornerback,,,19,2014.0,,3,,Arizona Cardinals,,,,,,,,,
20,Demaryius Thomas,Wide receiver,,,20,2014.0,,29,,Denver Broncos,,,,,,,,,
21,Earl Thomas,Safety,,,21,2014.0,,4,,Seattle Seahawks,,,,,,,,,
22,Russell Wilson,Quarterback,,,22,2014.0,,2,,Seattle Seahawks,,,,,,,,,
23,Joe Haden,Cornerback,,,23,2014.0,,16,,Cleveland Browns,,,,,,,,,
24,Ndamukong Suh,Defensive tackle,,,24,2014.0,,16,,Detroit Lions,Miami Dolphins,,,,,,,,
25,Joe Thomas,Offensive tackle,,,25,2014.0,,7,,Cleveland Browns,,,,,,,,,
26,Ben Roethlisberger,Quarterback,,,26,2014.0,,5,,Pittsburgh Steelers,,,,,,,,,
27,Justin Houston,Linebacker,,,27,2014.0,,30,,Kansas City Chiefs,,,,,,,,,
28,Gerald McCoy,Defensive tackle,,,28,2014.0,,0,,Tampa Bay Buccaneers,,,,,,,,,
29,LeSean McCoy,Running back,,,29,2014.0,,24,,Philadelphia Eagles,Buffalo Bills,,,,,,,,
30,Drew Brees,Quarterback,,,30,2014.0,,24,,New Orleans Saints,,,,,,,,,
31,Jimmy Graham,Tight end,,,31,2014.0,,21,,New Orleans Saints,Seattle Seahawks,,,,,,,,
32,Odell Beckham Jr.,Wide receiver,,,32,2014.0,,NR,,New York Giants,,,,,,,,,
33,Von Miller,Linebacker,,,33,2014.0,,43,,Denver Broncos,,,,,,,,,
34,Tony Romo,Quarterback,,,34,2014.0,,37,,Dallas Cowboys,,,,,,,,,
35,T.Y. Hilton,Wide receiver,,,35,2014.0,,NR,,Indianapolis Colts,,,,,,,,,
36,Tyron Smith,Offensive tackle,,,36,2014.0,,42,,Dallas Cowboys,,,,,,,,,
37,A. J. Green,Wide receiver,,,37,2014.0,,28,,Cincinnati Bengals,,,,,,,,,
38,Brent Grimes,Cornerback,,,38,2014.0,,57,,Miami Dolphins,,,,,,,,,
39,Cameron Wake,Defensive end,,,39,2014.0,,27,,Miami Dolphins,,,,,,,,,
40,Jason Peters,Offensive tackle,,,40,2014.0,,27,,Philadelphia Eagles,,,,,,,,,
41,Kam Chancellor,Safety,,,41,2014.0,,24,,Seattle Seahawks,,,,,,,,,
42,Mario Williams,Defensive end,,,42,2014.0,,13,,Buffalo Bills,,,,,,,,,
43,Philip Rivers,Quarterback,,,43,2014.0,,9,,San Diego Chargers,,,,,,,,,
44,Robert Quinn,Defensive end,,,44,2014.0,,31,,St. Louis Rams,,,,,,,,,
45,Julius Thomas,Tight end,,,45,2014.0,,NR,,Denver Broncos,Jacksonville Jaguars,,,,,,,,
46,Elvis Dumervil,Linebacker,,,46,2014.0,,NR,,Baltimore Ravens,,,,,,,,,
47,Trent Williams,Offensive tackle,,,47,2014.0,,13,,Washington Redskins,,,,,,,,,
48,Matt Forte,Running back,,,48,2014.0,,43,,Chicago Bears,,,,,,,,,
49,Khalil Mack,Linebacker,,,49,2014.0,,NR,,Oakland Raiders,,,,,,,,,
50,DeSean Jackson,Wide receiver,,,50,2014.0,,13,,Washington Redskins,,,,,,,,,
51,Clay Matthews,Linebacker,,,51,2014.0,,26,,Green Bay Packers,,,,,,,,,
52,Antonio Gates,Tight end,,,52,2014.0,,NR,,San Diego Chargers,,,,,,,,,
53,Marcell Dareus,Defensive tackle,,,53,2014.0,,9,,Buffalo Bills,,,,,,,,,
54,Steve Smith,Wide receiver,,,54,2014.0,,NR,,Baltimore Ravens,,,,,,,,,
55,Sheldon Richardson,Defensive end,,,55,2014.0,,39,,New York Jets,,,,,,,,,
56,Lavonte David,Linebacker,,,56,2014.0,,21,,Tampa Bay Buccaneers,,,,,,,,,
57,Brandon Marshall,Wide receiver,,,57,2014.0,,21,,Chicago Bears,New York Jets,,,,,,,,
58,Connor Barwin,Linebacker,,,58,2014.0,,NR,,Philadelphia Eagles,,,,,,,,,
59,Vontae Davis,Cornerback,,,59,2014.0,,NR,,Indianapolis Colts,,,,,,,,,
60,Eddie Lacy,Running back,,,60,2014.0,,30,,Green Bay Packers,,,,,,,,,
61,Jeremy Maclin,Wide receiver,,,61,2014.0,,NR,,Philadelphia Eagles,Kansas City Chiefs,,,,,,,,
62,Adrian Peterson,Running back,,,62,2014.0,,58,,Minnesota Vikings,,,,,,,,,
63,Jerry Hughes,Defensive end,,,63,2014.0,,NR,,Buffalo Bills,,,,,,,,,
64,Charles Woodson,Safety,,,64,2014.0,,NR,,Oakland Raiders,,,,,,,,,
65,Justin Forsett,Running back,,,65,2014.0,,NR,,Baltimore Ravens,,,,,,,,,
66,DeAndre Levy,Linebacker,,,66,2014.0,,7,,Detroit Lions,,,,,,,,,
67,Tashaun Gipson,Safety,,,67,2014.0,,NR,,Cleveland Browns,,,,,,,,,
68,Larry Fitzgerald,Wide receiver,,,68,2014.0,,30,,Arizona Cardinals,,,,,,,,,
69,Bobby Wagner,Linebacker,,,69,2014.0,,NR,,Seattle Seahawks,,,,,,,,,
70,Tamba Hali,Linebacker,,,70,2014.0,,27,,Kansas City Chiefs,,,,,,,,,
71,Julius Peppers,Linebacker,,,71,2014.0,,NR,,Green Bay Packers,,,,,,,,,
72,Kyle Williams,Defensive tackle,,,72,2014.0,,40,,Buffalo Bills,,,,,,,,,
73,Cam Newton,Quarterback,,,73,2014.0,,49,,Carolina Panthers,,,,,,,,,
74,Muhammad Wilkerson,Defensive end,,,74,2014.0,,32,,New York Jets,,,,,,,,,
75,Mike Evans,Wide receiver,,,75,2014.0,,NR,,Tampa Bay Buccaneers,,,,,,,,,
76,Sen'Derrick Marks,Defensive tackle,,,76,2014.0,,NR,,Jacksonville Jaguars,,,,,,,,,
77,Matt Ryan,Quarterback,,,77,2014.0,,NR,,Atlanta Falcons,,,,,,,,,
78,Ryan Kerrigan,Linebacker,,,78,2014.0,,NR,,Washington Redskins,,,,,,,,,
79,Marshal Yanda,Guard,,,79,2014.0,,24,,Baltimore Ravens,,,,,,,,,
80,Arian Foster,Running back,,,80,2014.0,,NR,,Houston Texans,,,,,,,,,
81,Darren Sproles,Running back,,,81,2014.0,,NR,,Philadelphia Eagles,,,,,,,,,
82,Haloti Ngata,Defensive tackle,,,82,2014.0,,37,,Baltimore Ravens,Detroit Lions,,,,,,,,
83,Maurkice Pouncey,Center,,,83,2014.0,,NR,,Pittsburgh Steelers,,,,,,,,,
84,Terrell Suggs,Linebacker,,,84,2014.0,,58,,Baltimore Ravens,,,,,,,,,
85,Golden Tate,Wide receiver,,,85,2014.0,,NR,,Detroit Lions,,,,,,,,,
86,Eric Weddle,Safety,,,86,2014.0,,6,,San Diego Chargers,,,,,,,,,
87,DeMarcus Ware,Linebacker,,,87,2014.0,,31,,Denver Broncos,,,,,,,,,
88,Glover Quin,Safety,,,88,2014.0,,NR,,Detroit Lions,,,,,,,,,
89,Greg Olsen,Tight end,,,89,2014.0,,NR,,Carolina Panthers,,,,,,,,,
90,Michael Bennett,Defensive end,,,90,2014.0,,NR,,Seattle Seahawks,,,,,,,,,
91,Julian Edelman,Wide receiver,,,91,2014.0,,NR,,New England Patriots,,,,,,,,,
92,Aaron Donald,Defensive tackle,,,92,2014.0,,NR,,St. Louis Rams,,,,,,,,,
93,Jason Witten,Tight end,,,93,2014.0,,5,,Dallas Cowboys,,,,,,,,,
94,C. J. Mosley,Linebacker,,,94,2014.0,,NR,,Baltimore Ravens,,,,,,,,,
95,Emmanuel Sanders,Wide receiver,,,95,2014.0,,NR,,Denver Broncos,,,,,,,,,
96,Jurrell Casey,Defensive end,,,96,2014.0,,NR,,Tennessee Titans,,,,,,,,,
97,Joe Flacco,Quarterback,,,97,2014.0,,39,,Baltimore Ravens,,,,,,,,,
98,Adam Vinatieri,Kicker,,,98,2014.0,,NR,,Indianapolis Colts,,,,,,,,,
99,Calais Campbell,Defensive end,,,99,2014.0,,NR,,Arizona Cardinals,,,,,,,,,
100,Randall Cobb,Wide receiver,,,100,2014.0,,NR,,Green Bay Packers,,,,,,,,,
1,Cam Newton,Quarterback,,,1,2015.0,,,,,,Carolina Panthers,,72,,,,,
2,Tom Brady,Quarterback,,,2,2015.0,,,,,,New England Patriots,,1,,,,,
3,J. J. Watt,Defensive end,,,3,2015.0,,,,,,Houston Texans,,2,,,,,
4,Antonio Brown,Wide receiver,,,4,2015.0,,,,,,Pittsburgh Steelers,,4,,,,,
5,Adrian Peterson,Running back,,,5,2015.0,,,,,,Minnesota Vikings,,57,,,,,
6,Aaron Rodgers,Quarterback,,,6,2015.0,,,,,,Green Bay Packers,,4,,,,,
7,Luke Kuechly,Linebacker,,,7,2015.0,,,,,,Carolina Panthers,,7,,,,,
8,Julio Jones,Wide receiver,,,8,2015.0,,,,,,Atlanta Falcons,,5,,,,,
9,Rob Gronkowski,Tight end,,,9,2015.0,,,,,,New England Patriots,,1,,,,,
10,Odell Beckham Jr.,Wide receiver,,,10,2015.0,,,,,,New York Giants,,22,,,,,
11,Josh Norman,Cornerback,,,11,2015.0,,,,,,Carolina Panthers,Washington Redskins,NR,,,,,
12,Carson Palmer,Quarterback,,,12,2015.0,,,,,,Arizona Cardinals,,NR,,,,,
13,Khalil Mack,Defensive end,,,13,2015.0,,,,,,Oakland Raiders,,36,,,,,
14,Aaron Donald,Defensive tackle,,,14,2015.0,,,,,,St. Louis / Los Angeles Rams,,78,,,,,
15,Von Miller,Linebacker,,,15,2015.0,,,,,,Denver Broncos,,18,,,,,
16,A.J. Green,Wide receiver,,,16,2015.0,,,,,,Cincinnati Bengals,,21,,,,,
17,Russell Wilson,Quarterback,,,17,2015.0,,,,,,Seattle Seahawks,,5,,,,,
18,Patrick Peterson,Cornerback,,,18,2015.0,,,,,,Arizona Cardinals,,1,,,,,
19,DeAndre Hopkins,Wide receiver,,,19,2015.0,,,,,,Houston Texans,,NR,,,,,
20,Richard Sherman,Cornerback,,,20,2015.0,,,,,,Seattle Seahawks,,9,,,,,
21,Ben Roethlisberger,Quarterback,,,21,2015.0,,,,,,Pittsburgh Steelers,,5,,,,,
22,Todd Gurley,Running back,,,22,2015.0,,,,,,St. Louis / Los Angeles Rams,,NR,,,,,
23,Joe Thomas,Offensive tackle,,,23,2015.0,,,,,,Cleveland Browns,,2,,,,,
24,Darrelle Revis,Cornerback,,,24,2015.0,,,,,,New York Jets,,7,,,,,
25,Brandon Marshall,Wide receiver,,,25,2015.0,,,,,,New York Jets,,32,,,,,
26,Justin Houston,Linebacker,,,26,2015.0,,,,,,Kansas City Chiefs,,1,,,,,
27,Larry Fitzgerald,Wide receiver,,,27,2015.0,,,,,,Arizona Cardinals,,41,,,,,
28,Tyrann Mathieu,Safety,,,28,2015.0,,,,,,Arizona Cardinals,,NR,,,,,
29,Geno Atkins,Defensive tackle,,,29,2015.0,,,,,,Cincinnati Bengals,,NR,,,,,
30,Drew Brees,Quarterback,,,30,2015.0,,,,,,New Orleans Saints,,0,,,,,
31,Allen Robinson,Wide receiver,,,31,2015.0,,,,,,Jacksonville Jaguars,,NR,,,,,
32,Kam Chancellor,Safety,,,32,2015.0,,,,,,Seattle Seahawks,,9,,,,,
33,Doug Martin,Running back,,,33,2015.0,,,,,,Tampa Bay Buccaneers,,NR,,,,,
34,Aqib Talib,Cornerback,,,34,2015.0,,,,,,Denver Broncos,,NR,,,,,
35,Andy Dalton,Quarterback,,,35,2015.0,,,,,,Cincinnati Bengals,,NR,,,,,
36,DeMarcus Ware,Linebacker,,,36,2015.0,,,,,,Denver Broncos,,51,,,,,
37,Marshal Yanda,Guard,,,37,2015.0,,,,,,Baltimore Ravens,,42,,,,,
38,Greg Olsen,Tight end,,,38,2015.0,,,,,,Carolina Panthers,,51,,,,,
39,Muhammad Wilkerson,Defensive end,,,39,2015.0,,,,,,New York Jets,,35,,,,,
40,Ndamukong Suh,Defensive tackle,,,40,2015.0,,,,,,Miami Dolphins,,16,,,,,
41,Le'Veon Bell,Running back,,,41,2015.0,,,,,,Pittsburgh Steelers,,25,,,,,
42,Tyron Smith,Offensive tackle,,,42,2015.0,,,,,,Dallas Cowboys,,6,,,,,
43,Ezekiel Ansah,Defensive end,,,43,2015.0,,,,,,Detroit Lions,,NR,,,,,
44,Tyler Eifert,Tight end,,,44,2015.0,,,,,,Cincinnati Bengals,,NR,,,,,
45,Trent Williams,Offensive tackle,,,45,2015.0,,,,,,Washington Redskins,,2,,,,,
46,Philip Rivers,Quarterback,,,46,2015.0,,,,,,San Diego Chargers,,3,,,,,
47,Eli Manning,Quarterback,,,47,2015.0,,,,,,New York Giants,,NR,,,,,
48,Chandler Jones,Defensive end,,,48,2015.0,,,,,,New England Patriots,Arizona Cardinals,NR,,,,,
49,Fletcher Cox,Defensive tackle,,,49,2015.0,,,,,,Philadelphia Eagles,,NR,,,,,
50,Devonta Freeman,Running back,,,50,2015.0,,,,,,Atlanta Falcons,,NR,,,,,
51,Dez Bryant,Wide receiver,,,51,2015.0,,,,,,Dallas Cowboys,,36,,,,,
52,Chris Harris Jr.,Cornerback,,,52,2015.0,,,,,,Denver Broncos,,NR,,,,,
53,Lavonte David,Linebacker,,,53,2015.0,,,,,,Tampa Bay Buccaneers,,3,,,,,
54,Thomas Davis Sr.,Linebacker,,,54,2015.0,,,,,,Carolina Panthers,,NR,,,,,
55,Eric Berry,Safety,,,55,2015.0,,,,,,Kansas City Chiefs,,NR,,,,,
56,Blake Bortles,Quarterback,,,56,2015.0,,,,,,Jacksonville Jaguars,,NR,,,,,
57,Clay Matthews,Linebacker,,,57,2015.0,,,,,,Green Bay Packers,,6,,,,,
58,Kawann Short,Defensive tackle,,,58,2015.0,,,,,,Carolina Panthers,,NR,,,,,
59,Michael Bennett,Defensive end,,,59,2015.0,,,,,,Seattle Seahawks,,31,,,,,
60,Reggie Nelson,Safety,,,60,2015.0,,,,,,Cincinnati Bengals,Oakland Raiders,NR,,,,,
61,NaVorro Bowman,Linebacker,,,61,2015.0,,,,,,San Francisco 49ers,,NR,,,,,
62,Demaryius Thomas,Wide receiver,,,62,2015.0,,,,,,Denver Broncos,,42,,,,,
63,Gerald McCoy,Defensive tackle,,,63,2015.0,,,,,,Tampa Bay Buccaneers,,35,,,,,
64,Reshad Jones,Safety,,,64,2015.0,,,,,,Miami Dolphins,,NR,,,,,
65,Marcus Peters,Cornerback,,,65,2015.0,,,,,,Kansas City Chiefs,,NR,,,,,
66,Earl Thomas,Safety,,,66,2015.0,,,,,,Seattle Seahawks,,45,,,,,
67,Andrew Whitworth,Offensive tackle,,,67,2015.0,,,,,,Cincinnati Bengals,,NR,,,,,
68,T.J. Ward,Safety,,,68,2015.0,,,,,,Denver Broncos,,NR,,,,,
